model_name,model_kind,config_id,n_seeds,hidden_size,learning_rate,weight_decay,bptt_length,batch_size,num_layers,max_epochs,patience,grad_clip,training_mode,window_stride,window_washout,normalize_inputs,normalize_targets,max_train_seconds_per_run,delay_recall_memory_corr_total_mean,delay_recall_test_memory_corr_total_mean,delay_recall_memory_eff_total_mean,delay_recall_test_memory_eff_total_mean,narma10_val_nmse_mean,narma10_test_nmse_mean,mg_val_nmse_mean,mg_test_nmse_mean,diagnostic_total_s_mean,selected_fit_s_mean,selected_fit_s_std,selected_test_s_mean,selected_test_s_std,selected_total_s_mean,selected_total_s_std,tuning_total_s_sum,diagnostic_total_s_sum,n_total_params_mean,n_trainable_params_mean,rank_delay_recall_within_model,rank_narma10_within_model,rank_mg_within_model,aggregate_rank_within_model,global_rank_delay_recall,global_rank_narma10,global_rank_mg,global_aggregate_rank,delay_recall_n_total_params,delay_recall_n_trainable_params,narma10_n_total_params,narma10_n_trainable_params,mg_n_total_params,mg_n_trainable_params,dropout,spectral_radius,input_scaling,leak_rate,n_lags,feature_mode,ridge_param
simple_rnn,torch_simple_rnn,8e28073ddfcb,7,64,0.003,0.0,200,32,1,800,50,1.0,windowed,50,auto,True,True,,43.352249051875496,43.32673309734379,42.64570120785144,42.68519378479762,0.01619387248695994,0.018044734597254954,0.015822457854024825,0.01715257615448633,44.03103805238027,131.90919511428467,11.27677290533741,0.10993894285742759,0.019418027638493082,132.0191340571421,11.27678962375149,5328.41050729993,6825.014685099886,6498.0,6498.0,4,1,1,2.0,9,1,14,8.0,10788.0,10788.0,4353.0,4353.0,4353.0,4353.0,,,,,,,
simple_rnn,torch_simple_rnn,e8737e669707,7,128,0.001,0.0,200,32,1,800,50,1.0,windowed,50,auto,True,True,,51.25609412308559,,50.26471373624684,,0.01815476186262075,,0.026316178249727224,,56.75123540476142,170.17034655714295,17.841554049651982,,,170.25370621428425,17.83822402179377,5328.41050729993,6825.014685099886,21154.0,21154.0,2,2,3,2.3333333333333335,4,2,20,8.666666666666666,29668.0,29668.0,16897.0,16897.0,16897.0,16897.0,,,,,,,
simple_rnn,torch_simple_rnn,b7104fa59923,7,128,0.003,0.0,200,32,1,800,50,1.0,windowed,50,auto,True,True,,67.00713203506244,66.38330041783976,66.37971520746525,65.75850374611905,0.029211783045685856,,0.04002964789395907,,46.45416437142731,139.22943040000143,10.140393072402171,0.04778165714170817,0.012218927277097386,139.3351850999991,10.137427305496969,5328.41050729993,6825.014685099886,21154.0,21154.0,1,4,4,3.0,3,4,23,10.0,29668.0,29668.0,16897.0,16897.0,16897.0,16897.0,,,,,,,
simple_rnn,torch_simple_rnn,b760a145a7c4,7,64,0.001,0.0,200,32,1,800,50,1.0,windowed,50,auto,True,True,,34.63273120574148,,33.83353808346327,,0.021942592597879278,,0.021306509095472236,,55.65568011904785,166.89547867143017,10.365106075522183,,,166.96704035714356,10.366633650400306,5328.41050729993,6825.014685099886,6498.0,6498.0,5,3,2,3.3333333333333335,13,3,18,11.333333333333334,10788.0,10788.0,4353.0,4353.0,4353.0,4353.0,,,,,,,
simple_rnn,torch_simple_rnn,ad4f2296d003,7,64,0.01,0.0,200,32,1,800,50,1.0,windowed,50,auto,True,True,,46.96143972790315,,46.086864323699096,,0.05103771864349527,,0.042530574019626066,,34.69435890476078,104.01100325714131,13.326514719034899,,,104.08307671428234,13.323529621046829,5328.41050729993,6825.014685099886,6498.0,6498.0,3,5,5,4.333333333333333,8,5,24,12.333333333333334,10788.0,10788.0,4353.0,4353.0,4353.0,4353.0,,,,,,,
lstm,torch_lstm,58e109cc028f,7,64,0.01,0.0,200,32,1,800,50,1.0,windowed,50,auto,True,True,,36.14136023491203,35.48707728497061,35.66298211703621,34.86828879210798,0.17963989098194677,,0.0011479158524014578,,46.461655300002484,139.331446457147,14.274683464334597,0.03512561428734833,0.002884745312166848,139.3780793428637,14.274680408017547,4682.378703599985,6869.36173249998,19362.0,19362.0,1,5,2,2.6666666666666665,11,27,2,13.333333333333334,23652.0,23652.0,17217.0,17217.0,17217.0,17217.0,0.0,,,,,,
lstm,torch_lstm,6c1421851c33,7,64,0.003,0.0,200,32,1,800,50,1.0,windowed,50,auto,True,True,,28.12811460725927,27.803627895504082,27.85250105889441,27.431432296239596,0.17079403726305525,0.18881576332170194,0.0016025943967875476,0.0014276247530534702,53.09878669999722,159.22850501427976,18.003945697187987,0.049276185714656355,0.002472343220446117,159.27778119999442,18.003945866941912,4682.378703599985,6869.36173249998,19362.0,19362.0,2,2,3,2.3333333333333335,18,23,3,14.666666666666666,23652.0,23652.0,17217.0,17217.0,17217.0,17217.0,0.0,,,,,,
lstm,torch_lstm,d59c1b882400,7,64,0.001,0.0,200,32,1,800,50,1.0,windowed,50,auto,True,True,,20.98768929020847,,20.894235077481635,,0.17215514410999874,,0.002218534460903036,,59.72825293809486,179.1683264142817,12.791054640923658,,,179.18475881428458,12.792550243357564,4682.378703599985,6869.36173249998,19362.0,19362.0,3,3,5,3.6666666666666665,25,24,5,18.0,23652.0,23652.0,17217.0,17217.0,17217.0,17217.0,0.0,,,,,,
lstm,torch_lstm,c7d9c0de5940,7,128,0.003,0.0,200,32,1,800,50,1.0,windowed,50,auto,True,True,,10.448725411516376,,9.828234734853854,,0.17045031666915594,0.19003609146211403,0.002028243956859982,,30.242746076188354,90.4970105285694,11.27623938172078,0.086191814286784,0.012683367249133116,90.65548482856579,11.275729235320895,4682.378703599985,6869.36173249998,71458.0,71458.0,5,1,4,3.3333333333333335,31,22,4,19.0,79972.0,79972.0,67201.0,67201.0,67201.0,67201.0,0.0,,,,,,
cycle_scr,esn,9992b49ddf96,7,,,,,,,,,,,,,,,,84.86462945527983,84.13521509915351,84.76317455569536,84.06547033518518,0.15871631968777788,0.16125890931414283,0.21070789896388525,0.1807912566067415,0.3886470857153957,1.1187556428579097,0.06566158238573176,0.04699948571838571,0.0018427929275556087,1.1657551285762955,0.06568743629623619,46.21971390008548,48.231842100016365,13600.0,3400.0,1,2,5,2.6666666666666665,1,21,37,19.666666666666668,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,0.95,0.05,1.0,,,
cycle_jump_j7,esn,96af7170b8b0,7,,,,,,,,,,,,,,,,34.88506083844006,35.04845877053484,34.54157334441842,34.80987456460142,0.11336909917392303,0.11718050323948738,0.13343796416397105,0.11640515095592363,0.4220234761911949,1.2196339714293052,0.0715941341602898,0.04626572857627512,0.00042463272161105995,1.2658997000055805,0.07159539342101444,53.3815588999787,55.374310200037144,13600.0,3400.0,2,1,5,2.6666666666666665,12,12,35,19.666666666666668,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,1.0,0.1,0.9,,,
cycle_scr,esn,259248d07a08,7,,,,,,,,,,,,,,,,33.12961993720064,32.95478654940889,32.86311257410189,32.65367797810725,0.14201086112350716,0.14626654375842763,0.07602873565528812,0.07020250059056587,0.3856592380948964,1.1074208142849133,0.037007074796788,0.049379114287148695,0.00699117753450314,1.1567999285720623,0.037661653552838105,46.21971390008548,48.231842100016365,13600.0,3400.0,4,1,4,3.0,15,18,28,20.333333333333332,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,0.95,0.2,0.9,,,
lstm,torch_lstm,fc91c7c7fdb4,7,128,0.001,0.0,200,32,1,800,50,1.0,windowed,50,auto,True,True,,13.85194857495546,,12.990040413626113,,0.17507346928097042,,0.0034422211432432277,,51.295821419049474,153.74098431428763,26.613666353329833,,,153.88746425714842,26.64009983603976,4682.378703599985,6869.36173249998,71458.0,71458.0,4,4,6,4.666666666666667,30,25,6,20.333333333333332,79972.0,79972.0,67201.0,67201.0,67201.0,67201.0,0.0,,,,,,
cycle_jump_j7,esn,4d2160951482,7,,,,,,,,,,,,,,,,29.889550889223074,29.853876890316695,29.6918595376007,29.68064086202074,0.1134859093557314,0.11681786443089012,0.09288330540341053,0.08507153756184219,0.42235218095274396,1.219436171425124,0.07038090621612346,0.04744164285719827,0.0022387154237733043,1.2668778142823223,0.07041650237374338,53.3815588999787,55.374310200037144,13600.0,3400.0,3,2,4,3.0,17,13,32,20.666666666666668,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,1.0,0.2,0.9,,,
cycle_jump_j7,esn,4e018c35c4e2,7,,,,,,,,,,,,,,,,23.957953772808917,23.783480849914778,23.677868684598185,23.519245369332868,0.11612539614954573,0.11798146275037143,0.05425197055303445,0.04987688353861914,0.44073811428686555,1.2737205000001788,0.08284816469857213,0.04831892857120173,0.0037866816295459354,1.3220394285713803,0.08293465712044196,53.3815588999787,55.374310200037144,13600.0,3400.0,4,3,3,3.3333333333333335,23,14,25,20.666666666666668,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,1.0,0.4,0.9,,,
lstm,torch_lstm,2fd4392c51ef,7,128,0.01,0.0,200,32,1,800,50,1.0,windowed,50,auto,True,True,,10.288709589570255,,9.763174771784142,,0.18108809534418574,,0.0011415727273782494,0.001083777362862267,22.63567957143061,67.76764908571411,15.286900869631486,0.04284667142824868,0.034359585188322064,67.8737678000034,15.28817682936347,4682.378703599985,6869.36173249998,71458.0,71458.0,6,6,1,4.333333333333333,32,29,1,20.666666666666668,79972.0,79972.0,67201.0,67201.0,67201.0,67201.0,0.0,,,,,,
random_sparse_baseline,esn,4d2160951482,7,,,,,,,,,,,,,,,,21.285211648228707,21.316208108390295,21.006570386218986,21.15131790681644,0.10431037277480791,0.11210449361094285,0.08151593822022375,0.07649563069450863,0.4044227285717386,1.1668242857111701,0.055977437656091505,0.04625831428191825,0.0007718162357509808,1.2130825999930883,0.055982758299706704,52.520950600053766,54.46438949998992,13600.0,3400.0,3,2,4,3.0,24,10,29,21.0,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,1.0,0.2,0.9,,,
tapped_delay_ridge,tapped_delay_ridge,9a9199a75441,7,,,,,,,,,,,,,,,,50.0478684133359,50.054082953456046,50.0,50.0,0.15554651981521614,0.1602516523920514,0.2532644532202934,0.23231001128988876,0.19966485237957732,0.43039088570887024,0.039318699369015726,0.09986205714189314,0.006907308254611113,0.5302529428507634,0.03992080945315684,10.611348500096938,14.804310400068061,3468.0,3468.0,1,1,1,1.0,5,19,40,21.333333333333332,10200.0,10200.0,102.0,102.0,102.0,102.0,,,,,50,quadratic,1e-06
random_sparse_baseline,esn,0e41bf66b8bb,7,,,,,,,,,,,,,,,,24.479792837681945,24.43935675391802,24.2716644755966,24.305052464917118,0.09823604473788065,0.10603864638529889,0.14568633253275037,0.13538877985958386,0.39510299523750464,1.139177285724145,0.03191637591947621,0.04594455714686774,0.00042640185693909664,1.1851218428710126,0.03191922415061058,52.520950600053766,54.46438949998992,13600.0,3400.0,2,1,5,2.6666666666666665,21,8,36,21.666666666666668,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,0.95,0.1,0.9,,,
random_sparse_baseline,esn,4e018c35c4e2,7,,,,,,,,,,,,,,,,16.622569468243885,16.557428493842263,16.388063582015356,16.38254984434515,0.11014100312511667,0.11547648388967137,0.06500131472712319,0.060055657497466296,0.4391506047620732,1.2712098999982118,0.07404891362368651,0.046069999994610304,0.0005105712134755976,1.3172798999928221,0.07405067381065628,52.520950600053766,54.46438949998992,13600.0,3400.0,4,3,3,3.3333333333333335,28,11,26,21.666666666666668,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,1.0,0.4,0.9,,,
