config_id,spectral_radius,input_scaling,leak_rate,best_ridge_mode,val_nmse_mean,val_nmse_std,test_nmse_mean,test_nmse_std,n_seeds
ce3f859c9599,0.5,0.05,0.3,1e-08,0.3472097395870755,0.024747171155326955,0.367802706228955,0.019362104926017115,5
710d1ed7b1ca,0.5,0.05,0.6,1e-08,0.3060664384080573,0.02725492371486903,0.3164107024363815,0.01790934931322302,5
0c91abb393f8,0.5,0.05,1.0,1e-08,0.21267731647658622,0.027098980303365806,0.22555951424093293,0.016739558885538443,5
d3571f6528af,0.5,0.1,0.3,1e-08,0.32315146932652705,0.02309272792841277,0.33633000628911536,0.02757424529225885,5
b94f79ff7b54,0.5,0.1,0.6,1e-08,0.2772534913424995,0.027339078393011154,0.28429387461480776,0.014133316698130154,5
fda2dfc70db7,0.5,0.1,1.0,1e-08,0.20267227966315904,0.02317015717233882,0.21547689822660637,0.016839065880131288,5
ba54ea0ca108,0.5,0.2,0.3,1e-08,0.30532830549009243,0.02752522247968141,0.30948858770121646,0.031100908308332675,5
4a6147109e3f,0.5,0.2,0.6,1e-08,0.254135774591962,0.022381919410098136,0.2592997943588914,0.014044182514492234,5
4d4a603e2a5b,0.5,0.2,1.0,1e-08,0.20136070346697627,0.0235506083561816,0.21300584338273434,0.017373663482827185,5
5a03987d6be9,0.5,0.5,0.3,1e-08,0.2920668183334369,0.027260367620716715,0.2936781464790913,0.03318873355281681,5
8805a7b8fef7,0.5,0.5,0.6,1e-08,0.22278026161224895,0.019638571014487988,0.23077002651608378,0.01676089240041084,5
4015619adbc6,0.5,0.5,1.0,1e-08,0.20616662126826246,0.026274895732521848,0.21582527551366307,0.01591517152951557,5
efbb5c0c6ae9,0.7,0.05,0.3,1e-08,0.3112189893005863,0.02855270784884487,0.3309076362369413,0.02265642321740998,5
4f45ab3701e0,0.7,0.05,0.6,1e-08,0.25549009446760645,0.02832117555303118,0.2718735066379401,0.0167484662759143,5
243378fb693a,0.7,0.05,1.0,1e-08,0.18774926752974985,0.025917012035551083,0.1967458696448128,0.019898984713782663,5
0098a43ea3da,0.7,0.1,0.3,1e-08,0.28557316279503864,0.027581978288050642,0.29254327033975214,0.02552853841406257,5
72f84ae81d5b,0.7,0.1,0.6,1e-08,0.22826277658683444,0.02053041238146598,0.2278859561099365,0.015808816714531517,5
25de579150b8,0.7,0.1,1.0,1e-08,0.1701332941508529,0.027652418470313044,0.1702896820952382,0.013235215623023548,5
fd0736428f6b,0.7,0.2,0.3,1e-08,0.2684982328691704,0.029666694195190992,0.2711575117932011,0.026070393580589726,5
5dacf2ac3539,0.7,0.2,0.6,1e-08,0.20469122283408944,0.019760862059504884,0.2030155748157124,0.018027284327839045,5
aeb751998e63,0.7,0.2,1.0,1e-08,0.14669477842172962,0.027257221020560517,0.1451678451304887,0.017965010170734545,5
ef79d6bd5e23,0.7,0.5,0.3,1e-08,0.25838675446618553,0.027574663735577473,0.2561635105315152,0.029393658365295946,5
d0a792568886,0.7,0.5,0.6,1e-08,0.19135574691134274,0.020790308871838917,0.19087439521948207,0.012666301070660463,5
568d306ef31b,0.7,0.5,1.0,1e-08,0.15346461231235237,0.02805158087702663,0.15148319552750025,0.00938484740474822,5
2393ea511c67,0.9,0.05,0.3,1e-08,0.2737329745112117,0.02612636347552965,0.28158085584133513,0.03232291944717302,5
6394867d74a1,0.9,0.05,0.6,1e-08,0.2106427798964316,0.025803075224599657,0.20960309628562968,0.02228272961696552,5
3d29e97f411f,0.9,0.05,1.0,1e-08,0.14669280361987436,0.03671515464064453,0.13964582544812262,0.021945666520345027,5
8f61b70683dd,0.9,0.1,0.3,1e-08,0.25483955404955927,0.024252833575815057,0.2575922712540855,0.033421985455615026,5
9c67a6f86fa9,0.9,0.1,0.6,1e-08,0.1850445763075424,0.022820063471890435,0.18138891159901963,0.01524355899595718,5
129fe242d561,0.9,0.1,1.0,1e-08,0.12121851025818994,0.02791740532386066,0.11088900329742338,0.01047587446618207,5
27cd7493a0ba,0.9,0.2,0.3,1e-08,0.24546507524239652,0.02399774355405962,0.24548191178695822,0.034832069812057956,5
bf8866ab4036,0.9,0.2,0.6,1e-08,0.17139939050002365,0.02242241489551588,0.1675694502447742,0.0053234103784824535,5
5033ae01f908,0.9,0.2,1.0,1e-08,0.12004837371560997,0.02810412593862442,0.11048325318197745,0.010276890953575717,5
3a3c688b7a7a,0.9,0.5,0.3,1e-08,0.2424163895919785,0.022717459202267934,0.2427957960353983,0.03304934885014246,5
9744509c8879,0.9,0.5,0.6,1e-08,0.17988203280227966,0.021586979845414744,0.17864152520618215,0.01055740383032298,5
4a4cf446ceab,0.9,0.5,1.0,1e-06,0.13727542877246587,0.03146418053876061,0.1314480553813758,0.012473553670028654,5
b71c13de4e50,1.1,0.05,0.3,1e-08,0.27059411497603963,0.028234835694425607,0.2742700432671033,0.027271838625853976,5
dbe2e4b383cc,1.1,0.05,0.6,1e-08,0.19231455111540843,0.03220814870344094,0.1892786851334482,0.031124971514081962,5
5ec1f2c41d90,1.1,0.05,1.0,1e-06,0.20003945603032144,0.061858558382804595,0.1830044199789332,0.03446083575318059,5
648d9fbc435e,1.1,0.1,0.3,1e-08,0.2635067506624831,0.040870880324309536,0.26295376398395476,0.030500370304021744,5
4624975b8b19,1.1,0.1,0.6,1e-08,0.17138756400118932,0.020070442467506062,0.17019495443020738,0.025524270414457307,5
ae031b6366dd,1.1,0.1,1.0,0.0001,0.21416979564545216,0.07516968801063027,0.19261244821970216,0.037069481842130186,5
aa2ec9a58ffc,1.1,0.2,0.3,1e-08,0.25455392482938133,0.04631207741072446,0.24725509112342778,0.0338838777250812,5
10b5d24c62b0,1.1,0.2,0.6,1e-08,0.17701735981193623,0.024542561923782867,0.17205755835606615,0.020942643830809585,5
9bba7c25d761,1.1,0.2,1.0,1e-08,0.2078986835151347,0.0657803759260598,0.20559027117923248,0.041415884224875854,5
b3006a383a87,1.1,0.5,0.3,1e-08,0.254376681405766,0.03677693991045908,0.2593283390955541,0.028585561424433366,5
4aa1a4f5b9ec,1.1,0.5,0.6,1e-08,0.19159273994617382,0.029323498949935283,0.18923754311111574,0.01943811556962775,5
5565a87f9e44,1.1,0.5,1.0,1e-08,0.24525491823487156,0.09680998516817454,0.2606939012602035,0.058920594490021766,5
f4412c4e72f3,1.3,0.05,0.3,1e-06,0.3358389139370116,0.07958340420296962,0.3554190541650944,0.07295071659656031,5
00a2c034466e,1.3,0.05,0.6,1e-08,0.3646210357744806,0.15332603551568932,0.33560255630268687,0.12488236037181852,5
3087f09c8fa3,1.3,0.05,1.0,1e-06,1.91073848056182,2.9167008141892867,5.842462285435381,10.186736408323432,5
f60d5278111b,1.3,0.1,0.3,0.0001,0.3491647459538017,0.08047183642851836,0.36472332917511735,0.09202595845531623,5
488822136d7b,1.3,0.1,0.6,1e-08,0.33696218357982033,0.14356199789630344,0.5776227411278805,0.5559537298483108,5
a761a74a4ea7,1.3,0.1,1.0,0.1,0.7667986775243979,0.6560025212971401,0.7836688481854918,0.6811580827826199,5
8c61467801c0,1.3,0.2,0.3,1e-08,0.30499142452837924,0.07781157395131115,0.3133031957083824,0.08858039332322198,5
e2f7ba5bd841,1.3,0.2,0.6,1e-08,0.2560993772008662,0.09472758008779687,0.24530364926175077,0.0749296015212345,5
b9c4ba977c63,1.3,0.2,1.0,0.1,1.989195977337094,2.6382428831523628,2.1820065338734675,3.099531759175093,5
4b53fb043852,1.3,0.5,0.3,1e-08,0.2827611618450041,0.04688026054610001,0.30263712420084704,0.06907553336011457,5
