config_id,spectral_radius,input_scaling,leak_rate,best_ridge_mode,val_nmse_mean,val_nmse_std,test_nmse_mean,test_nmse_std,n_seeds
65189332b1c4,0.9,0.1,0.9,1e-10,4.182794559525741e-12,6.707692700371253e-13,3.773008644919703e-12,7.17446429871233e-13,5
129fe242d561,0.9,0.1,1.0,1e-10,3.1595776219043493e-12,6.264201295633544e-13,2.8449033480698185e-12,5.494147959464308e-13,5
b5cf1e3871f2,0.9,0.15,0.9,1e-10,2.4531471945893247e-12,9.048148965478665e-13,2.178185094414249e-12,7.769229892384512e-13,5
92815a841b21,0.9,0.15,1.0,1e-10,2.030724947027482e-12,3.681281876679378e-13,1.8081920535266607e-12,3.19626665276512e-13,5
0292ac89d7b8,0.9,0.2,0.9,1e-10,1.8523947222728678e-12,9.67902481936663e-13,1.5606813737308515e-12,7.788581035950249e-13,5
5033ae01f908,0.9,0.2,1.0,1e-10,1.521006381751107e-12,5.82127492431637e-13,1.2815586956067568e-12,4.735316599056739e-13,5
