config_id,spectral_radius,input_scaling,leak_rate,best_ridge_mode,val_nmse_mean,val_nmse_std,test_nmse_mean,test_nmse_std,n_seeds
65189332b1c4,0.9,0.1,0.9,1e-10,2.2521353055225823e-12,3.985296060866008e-13,2.0853556303101447e-12,3.7369284856139617e-13,5
129fe242d561,0.9,0.1,1.0,1e-10,1.7840407192519023e-12,2.8116850445172676e-13,1.6601289354059795e-12,2.50964875354657e-13,5
b5cf1e3871f2,0.9,0.15,0.9,1e-10,1.421353976501358e-12,3.1090273707543065e-13,1.3116616488559816e-12,2.882764341217522e-13,5
92815a841b21,0.9,0.15,1.0,1e-10,1.1008940028753734e-12,1.833194325998716e-13,1.0225667726067762e-12,1.780356870320523e-13,5
0292ac89d7b8,0.9,0.2,0.9,1e-10,9.82601701343489e-13,2.873539766363242e-13,9.254896814563145e-13,2.547031331391093e-13,5
5033ae01f908,0.9,0.2,1.0,1e-10,7.922005916175037e-13,1.9915076761469287e-13,7.586045606138441e-13,1.862298293567734e-13,5
