task,task_global_rank,design_name,reservoir_type,config_id,spectral_radius,input_scaling,leak_rate,task_val_metric,task_test_metric,global_aggregate_rank,aggregate_rank_within_design,rank_narma10_within_design,rank_mg_within_design,rank_mc_within_design,global_rank_narma10,global_rank_mg,global_rank_mc,n_seeds,narma10_val_nmse_mean,narma10_val_nmse_std,narma10_test_nmse_mean,narma10_test_nmse_std,mg_val_nmse_mean,mg_val_nmse_std,mg_test_nmse_mean,mg_test_nmse_std,mc_total_mean,mc_total_std
narma10,59,region_selection_multitask_v1,random_sparse,bc11db15bc14,1.4,1.0,0.5,0.27370594871996895,0.2790071856158193,47.0,47.0,59,11,71,59,11,71,7,0.27370594871996895,0.04821136159150504,0.2790071856158193,0.0669140687000279,0.01891269697977738,0.005436608942464526,0.017784858088172643,0.00579921748310804,8.723656263492773,1.1381922815248955
narma10,60,region_selection_multitask_v1,random_sparse,0267662798b4,0.8,1.0,0.3,0.27554790179158306,0.2838313709608817,51.0,51.0,60,14,79,60,14,79,7,0.27554790179158306,0.02834871535300773,0.2838313709608817,0.03421387231200928,0.020626644389961923,0.002849596663728257,0.01929594939404322,0.004912194260125095,7.897283544565034,0.32825664155866563
narma10,61,region_selection_multitask_v1,random_sparse,5d1a27f2c344,1.0,1.0,0.3,0.2764906395872154,0.2825338801483283,46.0,46.0,61,8,69,61,8,69,7,0.2764906395872154,0.032821430009786864,0.2825338801483283,0.035344956788658295,0.015042871313241304,0.004040751981158109,0.01309875193590358,0.0030788004299047186,8.793114362780448,0.48968590525156824
narma10,62,region_selection_multitask_v1,random_sparse,acaba35d5aba,1.0,1.5,1.0,0.28429001462900444,0.27630487353327104,57.333333333333336,57.333333333333336,62,42,68,62,42,68,7,0.28429001462900444,0.06933164705993111,0.27630487353327104,0.06009054576344634,0.06261224322442002,0.005808255002578333,0.058658131786202314,0.005755464343552894,8.856923077948213,0.5907789858038571
narma10,63,region_selection_multitask_v1,random_sparse,37929e56638c,1.2,0.8,0.3,0.28475226775716667,0.29813502531413905,45.333333333333336,45.333333333333336,63,6,67,63,6,67,7,0.28475226775716667,0.03200462900248055,0.29813502531413905,0.041740554941668374,0.014862808468686362,0.0055308009299371245,0.012923389493690807,0.00493041449154475,9.01582748985158,1.5322933273282948
narma10,64,region_selection_multitask_v1,random_sparse,156770123aaf,1.2,1.0,0.3,0.28973350579409934,0.29499932421100145,45.333333333333336,45.333333333333336,64,2,70,64,2,70,7,0.28973350579409934,0.031571122358979437,0.29499932421100145,0.039077060874380974,0.012813075996354808,0.004922646419589301,0.011238575031633424,0.0039502321178038,8.787038924484882,1.1196649949602173
narma10,65,region_selection_multitask_v1,random_sparse,e826ff2b8607,1.4,1.5,0.9,0.2900472527649215,0.30633847692589117,53.666666666666664,53.666666666666664,65,35,61,65,35,61,7,0.2900472527649215,0.07753443035256169,0.30633847692589117,0.091254851163504,0.0581457529856124,0.007247231319150634,0.05571824323496431,0.010323422100125202,9.376283903895452,0.5222795616654298
narma10,66,region_selection_multitask_v1,random_sparse,e53ba8a689f1,1.2,0.4,0.3,0.2905573480831337,0.30161839738241575,45.333333333333336,45.333333333333336,66,12,58,66,12,58,7,0.2905573480831337,0.030668918019498562,0.30161839738241575,0.06113385494231866,0.01957429867238054,0.00940083799570515,0.017094951339163326,0.009212970324030479,9.513908824667203,2.793596455203102
narma10,67,region_selection_multitask_v1,random_sparse,1fba7e1dce2c,1.0,1.5,0.3,0.29399939205001413,0.3021237684804878,52.333333333333336,52.333333333333336,67,7,83,67,7,83,7,0.29399939205001413,0.030257004737687644,0.3021237684804878,0.035337081903283725,0.014866708073490092,0.003838864345915892,0.012815001984925214,0.003656911917082065,7.22544613171542,0.3606350449363276
narma10,68,region_selection_multitask_v1,random_sparse,0c37aa2f4815,1.4,0.8,0.5,0.29581913374289054,0.30480582459444544,50.666666666666664,50.666666666666664,68,10,74,68,10,74,7,0.29581913374289054,0.07998398560892524,0.30480582459444544,0.10824112843453722,0.01824704517796743,0.005678872078554983,0.016540531020277877,0.006731082179611892,8.604247480818035,0.9599023567341977
narma10,69,region_selection_multitask_v1,random_sparse,8f9b582de955,0.8,1.5,0.3,0.2966680406867019,0.30203083422458754,57.666666666666664,57.666666666666664,69,16,88,69,16,88,7,0.2966680406867019,0.028428869870723312,0.30203083422458754,0.0339845128115175,0.021603872859994298,0.0047943640343469825,0.02002338946843235,0.005521741495424475,6.6003609763287745,0.30421254838440226
narma10,70,region_selection_multitask_v1,random_sparse,9af27047188b,1.2,1.5,0.3,0.2968278183508346,0.2980870606370359,51.0,51.0,70,3,80,70,3,80,7,0.2968278183508346,0.035707389306018654,0.2980870606370359,0.0384521796876181,0.013264508892308732,0.004575003256910429,0.012061489364817926,0.0034068186791285354,7.733354668117092,0.5925072874846915
narma10,71,region_selection_multitask_v1,random_sparse,8336ee954e76,1.4,0.4,0.5,0.3057381398750583,0.31277259420496356,70.0,70.0,71,66,73,71,66,73,7,0.3057381398750583,0.0801556581918262,0.31277259420496356,0.11010339630209799,0.15719415676500717,0.16517665405153784,0.15309458939151138,0.1611925553230466,8.621221126879218,1.695419702383143
