task,task_global_rank,model_name,model_kind,config_id,task_val_metric,task_test_metric,global_aggregate_rank,aggregate_rank_within_model,global_rank_delay_recall,global_rank_narma10,global_rank_mg,n_total_params,n_trainable_params,selected_fit_s_mean,selected_test_s_mean,selected_total_s_mean,tuning_total_s_sum,n_seeds,spectral_radius,input_scaling,leak_rate,delay_recall_memory_corr_total_mean,delay_recall_test_memory_corr_total_mean,delay_recall_memory_eff_total_mean,delay_recall_test_memory_eff_total_mean,narma10_val_nmse_mean,narma10_test_nmse_mean,mg_val_nmse_mean,mg_test_nmse_mean,diagnostic_total_s_mean,selected_fit_s_std,selected_test_s_std,selected_total_s_std,diagnostic_total_s_sum,rank_delay_recall_within_model,rank_narma10_within_model,rank_mg_within_model,delay_recall_n_total_params,delay_recall_n_trainable_params,narma10_n_total_params,narma10_n_trainable_params,mg_n_total_params,mg_n_trainable_params,hidden_size,learning_rate,weight_decay,bptt_length,batch_size,num_layers,max_epochs,patience,grad_clip,training_mode,window_stride,window_washout,normalize_inputs,normalize_targets,max_train_seconds_per_run,n_lags,feature_mode,ridge_param,dropout
delay_recall,1,cycle_scr,esn,9992b49ddf96,84.76317455569536,84.06547033518518,19.666666666666668,2.6666666666666665,1,21,37,20200.0,10000.0,1.1187556428579097,0.04699948571838571,1.1657551285762955,46.21971390008548,7,0.95,0.05,1.0,84.86462945527983,84.13521509915351,84.76317455569536,84.06547033518518,0.15871631968777788,0.16125890931414283,0.21070789896388525,0.1807912566067415,0.3886470857153957,0.06566158238573176,0.0018427929275556087,0.06568743629623619,48.231842100016365,1,2,5,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,,,,,,,,,,,,,,,,,,
delay_recall,2,cycle_scr,esn,92bfaaea8b8b,68.1315831291853,68.86554513337319,30.666666666666668,4.333333333333333,2,47,43,20200.0,10000.0,1.125902700009257,0.04717504286132421,1.1730777428705812,46.21971390008548,7,1.0,0.05,1.0,68.30943062119499,69.01553422323029,68.1315831291853,68.86554513337319,0.5166417298326035,0.4965829298539017,0.28913027149722614,0.18789408789899364,0.39108475238026585,0.049295546888764016,0.0017964356846144908,0.04932826901718008,48.231842100016365,2,5,6,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,,,,,,,,,,,,,,,,,,
delay_recall,3,simple_rnn,torch_simple_rnn,b7104fa59923,66.37971520746525,65.75850374611905,10.0,3.0,3,4,23,29668.0,29668.0,139.22943040000143,0.04778165714170817,139.3351850999991,5328.41050729993,7,,,,67.00713203506244,66.38330041783976,66.37971520746525,65.75850374611905,0.029211783045685856,,0.04002964789395907,,46.45416437142731,10.140393072402171,0.012218927277097386,10.137427305496969,6825.014685099886,1,4,4,29668.0,29668.0,16897.0,16897.0,16897.0,16897.0,128,0.003,0.0,200,32,1,800,50,1.0,windowed,50,auto,True,True,,,,,
delay_recall,4,simple_rnn,torch_simple_rnn,e8737e669707,50.26471373624684,,8.666666666666666,2.3333333333333335,4,2,20,29668.0,29668.0,170.17034655714295,,170.25370621428425,5328.41050729993,7,,,,51.25609412308559,,50.26471373624684,,0.01815476186262075,,0.026316178249727224,,56.75123540476142,17.841554049651982,,17.83822402179377,6825.014685099886,2,2,3,29668.0,29668.0,16897.0,16897.0,16897.0,16897.0,128,0.001,0.0,200,32,1,800,50,1.0,windowed,50,auto,True,True,,,,,
delay_recall,5,tapped_delay_ridge,tapped_delay_ridge,9a9199a75441,50.0,50.0,21.333333333333332,1.0,5,19,40,10200.0,10200.0,0.43039088570887024,0.09986205714189314,0.5302529428507634,10.611348500096938,7,,,,50.0478684133359,50.054082953456046,50.0,50.0,0.15554651981521614,0.1602516523920514,0.2532644532202934,0.23231001128988876,0.19966485237957732,0.039318699369015726,0.006907308254611113,0.03992080945315684,14.804310400068061,1,1,1,10200.0,10200.0,102.0,102.0,102.0,102.0,,,,,,,,,,,,,,,,50,quadratic,1e-06,
delay_recall,6,tapped_delay_ridge,tapped_delay_ridge,a6aa1bed1edb,50.000208516928886,,25.666666666666668,2.6666666666666665,6,26,45,5100.0,5100.0,0.3224491857233391,,0.3915417428631502,10.611348500096938,7,,,,50.046560438148205,,50.000208516928886,,0.175744291942719,,0.3487289974870463,,0.13051391428771672,0.06375333084947978,,0.06620050465116536,14.804310400068061,2,3,3,5100.0,5100.0,51.0,51.0,51.0,51.0,,,,,,,,,,,,,,,,50,raw,1e-06,
delay_recall,7,cycle_jump_j7,esn,9992b49ddf96,48.11449320112865,48.06642301952991,21.666666666666668,3.6666666666666665,7,17,41,20200.0,10000.0,1.2275944571436932,0.048283757144028126,1.2758782142877212,53.3815588999787,7,0.95,0.05,1.0,48.23355018853029,48.1561978228728,48.11449320112865,48.06642301952991,0.13241966774707967,0.1318744297597234,0.25533047433249156,0.22796297614689306,0.4253540142848838,0.07858564998531951,0.0044836504072453265,0.07871345186554544,55.374310200037144,1,4,6,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,,,,,,,,,,,,,,,,,,
delay_recall,8,simple_rnn,torch_simple_rnn,ad4f2296d003,46.086864323699096,,12.333333333333334,4.333333333333333,8,5,24,10788.0,10788.0,104.01100325714131,,104.08307671428234,5328.41050729993,7,,,,46.96143972790315,,46.086864323699096,,0.05103771864349527,,0.042530574019626066,,34.69435890476078,13.326514719034899,,13.323529621046829,6825.014685099886,3,5,5,10788.0,10788.0,4353.0,4353.0,4353.0,4353.0,64,0.01,0.0,200,32,1,800,50,1.0,windowed,50,auto,True,True,,,,,
delay_recall,9,simple_rnn,torch_simple_rnn,8e28073ddfcb,42.64570120785144,42.68519378479762,8.0,2.0,9,1,14,10788.0,10788.0,131.90919511428467,0.10993894285742759,132.0191340571421,5328.41050729993,7,,,,43.352249051875496,43.32673309734379,42.64570120785144,42.68519378479762,0.01619387248695994,0.018044734597254954,0.015822457854024825,0.01715257615448633,44.03103805238027,11.27677290533741,0.019418027638493082,11.27678962375149,6825.014685099886,4,1,1,10788.0,10788.0,4353.0,4353.0,4353.0,4353.0,64,0.003,0.0,200,32,1,800,50,1.0,windowed,50,auto,True,True,,,,,
delay_recall,10,cycle_scr,esn,4d2160951482,37.328801911180484,37.34862464342841,22.666666666666668,3.0,10,31,27,20200.0,10000.0,1.078183228573055,0.049461842859662805,1.1276450714327177,46.21971390008548,7,1.0,0.2,0.9,37.83592709412433,37.80388338466806,37.328801911180484,37.34862464342841,0.19156864177292485,0.19011396012460008,0.07533590750563217,0.06453104949239814,0.37594502857107376,0.07839611995912624,0.006728690921641931,0.07868434981725843,48.231842100016365,3,3,3,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,,,,,,,,,,,,,,,,,,
