task,task_global_rank,model_name,model_kind,config_id,task_val_metric,task_test_metric,global_aggregate_rank,aggregate_rank_within_model,global_rank_delay_recall,global_rank_narma10,global_rank_mg,n_total_params_mean,n_trainable_params_mean,selected_fit_s_mean,selected_test_s_mean,selected_total_s_mean,tuning_total_s_sum,n_seeds,hidden_size,learning_rate,weight_decay,bptt_length,batch_size,num_layers,dropout,max_epochs,patience,grad_clip,training_mode,window_stride,window_washout,normalize_inputs,normalize_targets,max_train_seconds_per_run,delay_recall_memory_corr_total_mean,delay_recall_memory_eff_total_mean,narma10_val_nmse_mean,narma10_test_nmse_mean,mg_val_nmse_mean,mg_test_nmse_mean,diagnostic_total_s_mean,selected_fit_s_std,selected_test_s_std,selected_total_s_std,diagnostic_total_s_sum,rank_delay_recall_within_model,rank_narma10_within_model,rank_mg_within_model,delay_recall_test_memory_corr_total_mean,delay_recall_test_memory_eff_total_mean,spectral_radius,input_scaling,leak_rate,n_lags,feature_mode,ridge_param
mackey_glass,1,lstm,torch_lstm,2fd4392c51ef,0.0011415727273782494,0.001083777362862267,20.666666666666668,4.333333333333333,32,29,1,71458.0,71458.0,67.76764908571411,0.04284667142824868,67.8737678000034,4682.378703599985,7,128,0.01,0.0,200,32,1,0.0,800,50,1.0,windowed,50,auto,True,True,,10.288709589570255,9.763174771784142,0.18108809534418574,,0.0011415727273782494,0.001083777362862267,22.63567957143061,15.286900869631486,0.034359585188322064,15.28817682936347,6869.36173249998,6,6,1,,,,,,,,
mackey_glass,2,lstm,torch_lstm,58e109cc028f,0.0011479158524014578,,13.333333333333334,2.6666666666666665,11,27,2,19362.0,19362.0,139.331446457147,0.03512561428734833,139.3780793428637,4682.378703599985,7,64,0.01,0.0,200,32,1,0.0,800,50,1.0,windowed,50,auto,True,True,,36.14136023491203,35.66298211703621,0.17963989098194677,,0.0011479158524014578,,46.461655300002484,14.274683464334597,0.002884745312166848,14.274680408017547,6869.36173249998,1,5,2,35.48707728497061,34.86828879210798,,,,,,
mackey_glass,3,lstm,torch_lstm,6c1421851c33,0.0016025943967875476,0.0014276247530534702,14.666666666666666,2.3333333333333335,18,23,3,19362.0,19362.0,159.22850501427976,0.049276185714656355,159.27778119999442,4682.378703599985,7,64,0.003,0.0,200,32,1,0.0,800,50,1.0,windowed,50,auto,True,True,,28.12811460725927,27.85250105889441,0.17079403726305525,0.18881576332170194,0.0016025943967875476,0.0014276247530534702,53.09878669999722,18.003945697187987,0.002472343220446117,18.003945866941912,6869.36173249998,2,2,3,27.803627895504082,27.431432296239596,,,,,,
mackey_glass,4,lstm,torch_lstm,c7d9c0de5940,0.002028243956859982,,19.0,3.3333333333333335,31,22,4,71458.0,71458.0,90.4970105285694,0.086191814286784,90.65548482856579,4682.378703599985,7,128,0.003,0.0,200,32,1,0.0,800,50,1.0,windowed,50,auto,True,True,,10.448725411516376,9.828234734853854,0.17045031666915594,0.19003609146211403,0.002028243956859982,,30.242746076188354,11.27623938172078,0.012683367249133116,11.275729235320895,6869.36173249998,5,1,4,,,,,,,,
mackey_glass,5,lstm,torch_lstm,d59c1b882400,0.002218534460903036,,18.0,3.6666666666666665,25,24,5,19362.0,19362.0,179.1683264142817,,179.18475881428458,4682.378703599985,7,64,0.001,0.0,200,32,1,0.0,800,50,1.0,windowed,50,auto,True,True,,20.98768929020847,20.894235077481635,0.17215514410999874,,0.002218534460903036,,59.72825293809486,12.791054640923658,,12.792550243357564,6869.36173249998,3,3,5,,,,,,,,
mackey_glass,6,lstm,torch_lstm,fc91c7c7fdb4,0.0034422211432432277,,20.333333333333332,4.666666666666667,30,25,6,71458.0,71458.0,153.74098431428763,,153.88746425714842,4682.378703599985,7,128,0.001,0.0,200,32,1,0.0,800,50,1.0,windowed,50,auto,True,True,,13.85194857495546,12.990040413626113,0.17507346928097042,,0.0034422211432432277,,51.295821419049474,26.613666353329833,,26.64009983603976,6869.36173249998,4,4,6,,,,,,,,
mackey_glass,7,nonnormal_chain_g0_3,esn,4e018c35c4e2,0.011381919377828759,0.009827560469904085,29.333333333333332,2.3333333333333335,44,37,7,13600.0,3400.0,1.2255304857161329,0.04688510000102854,1.2724155857171613,49.86669650019758,7,,,,,,,,,,,,,,,,,3.080362234173364,2.2339846073665908,0.28647510806376253,0.2929744325282764,0.011381919377828759,0.009827560469904085,0.42420104285771404,0.06071259031020875,0.0004236720786779801,0.06071406855256453,51.89364260000002,2,4,1,3.4728276865817733,2.4656204350548987,1.0,0.4,0.9,,,
mackey_glass,8,random_sparse_baseline,esn,b07b757cf213,0.011941754529989638,0.010960156964838976,29.333333333333332,4.333333333333333,37,43,8,13600.0,3400.0,1.3640831714281894,0.0466733142893645,1.410756485717554,52.520950600053766,7,,,,,,,,,,,,,,,,,7.628552154502133,7.351693177048661,0.3653084679748152,0.32701569990697094,0.011941754529989638,0.010960156964838976,0.47031260476207876,0.0849652213597806,0.0012065870879150887,0.08497378827095589,54.46438949998992,6,6,1,7.709242051641209,7.517736230241269,1.4,1.5,0.3,,,
mackey_glass,9,cycle_jump_j7,esn,b07b757cf213,0.012362046316868037,0.01131682539389009,32.333333333333336,4.333333333333333,42,46,9,13600.0,3400.0,1.3599291714261716,0.04721258571537744,1.4071417571415494,53.3815588999787,7,,,,,,,,,,,,,,,,,4.241951656656731,3.8202968122727343,0.42701517318987464,0.4274711090125468,0.012362046316868037,0.01131682539389009,0.46910444761929937,0.09847539091702992,0.0018024702697455655,0.09849188553040893,55.374310200037144,6,6,1,4.743807278875729,4.564859787237774,1.4,1.5,0.3,,,
mackey_glass,10,random_sparse_baseline,esn,156770123aaf,0.012813075995792662,0.011238575031561851,28.333333333333332,4.0,36,39,10,13600.0,3400.0,1.2894068999989292,0.04578814286235554,1.3351950428612847,52.520950600053766,7,,,,,,,,,,,,,,,,,8.702124987595687,8.403135885891192,0.2897335057941485,0.2949993242109921,0.012813075995792662,0.011238575031561851,0.44511989999938084,0.08059011197315642,0.0005437425682420345,0.080591946271488,54.46438949998992,5,5,2,8.76677495088689,8.485971724178047,1.2,1.0,0.3,,,
