config_id,spectral_radius,input_scaling,leak_rate,narma10_val_nmse_mean,narma10_val_nmse_std,narma10_test_nmse_mean,narma10_test_nmse_std,mg_val_nmse_mean,mg_val_nmse_std,mg_test_nmse_mean,mg_test_nmse_std,mc_total_mean,mc_total_std,rank_narma10,rank_mg,rank_mc,aggregate_rank,n_seeds
92815a841b21,0.9,0.15,1.0,0.12033127601385371,0.033062340265807,0.09675606877177804,0.011710510932417094,2.1260024293894963e-12,6.01515922700201e-13,1.97604274612607e-12,7.170550328722869e-13,24.394650466204187,0.6275494083993058,21,23,14,19.333333333333332,5
5033ae01f908,0.9,0.2,1.0,0.12267770045402704,0.032517888841208334,0.0975643783763657,0.011635814858307407,1.5931964953072803e-12,4.1269241299487343e-13,1.50492372391597e-12,5.901769039215952e-13,22.44004129758528,0.6447643363590934,29,10,22,20.333333333333332,5
129fe242d561,0.9,0.1,1.0,0.11927708145735427,0.03323826339929223,0.09728631103292985,0.012027315780995277,3.4617304272620287e-12,1.300679341565019e-12,3.3022594074124436e-12,1.3155414200034532e-12,26.9347041180897,0.692721941121227,15,45,5,21.666666666666668,5
0292ac89d7b8,0.9,0.2,0.9,0.11423482592726317,0.026160693067743792,0.0955177392760778,0.010329268484962177,2.1168996929192574e-12,4.893958841104533e-13,1.9841681959107876e-12,6.70657306080179e-13,19.6364324086566,0.4982521242687137,7,22,41,23.333333333333332,5
b5cf1e3871f2,0.9,0.15,0.9,0.11321662424631071,0.025835749835373168,0.09503753531627744,0.010060145700748918,2.9170504671366263e-12,7.891314817539535e-13,2.725812175913436e-12,9.503969955878967e-13,21.19260412330375,0.5415209217331335,4,38,28,23.333333333333332,5
65189332b1c4,0.9,0.1,0.9,0.11327538446575072,0.02642255518359386,0.09535054590882307,0.009664031248964377,4.941186166441615e-12,1.8789901500201265e-12,4.739191593295962e-12,1.9009206152509316e-12,23.285875068798696,0.5029364266167066,6,66,17,29.666666666666668,5
e74399494040,0.9,0.3,1.0,0.12870510054677525,0.03195126032107329,0.10119567734417081,0.01267337774425603,1.3303363162524948e-12,4.899776271141438e-13,1.224138032194853e-12,4.0967117536177326e-13,19.47465393330948,0.671695403758583,42,5,42,29.666666666666668,5
4bf4f06eba9c,0.8,0.2,1.0,0.12868245051993704,0.035233231474760096,0.1057933598322542,0.014890002901979787,1.613982771769338e-12,1.9136317325270386e-13,1.478743687119177e-12,1.527352710395303e-13,19.348290334407796,0.4899059209423707,41,11,44,32.0,5
8baeb0c225c0,0.8,0.15,1.0,0.12739148941028294,0.036236342461079575,0.10538171919498755,0.015598847022101377,2.5705769992198003e-12,2.145173142046974e-13,2.3549657502475455e-12,2.0093091233771541e-13,20.898888161313437,0.5208582589183051,38,31,29,32.666666666666664,5
8246ed9a8b68,0.9,0.3,0.9,0.11675862152478862,0.027170833124316524,0.0975543026943564,0.011515288812846736,1.686069501090726e-12,6.619266461815447e-13,1.5184488239030529e-12,5.80042378177487e-13,17.386858333017745,0.423389597823043,12,12,75,33.0,5
