config_id,spectral_radius,input_scaling,leak_rate,narma10_val_nmse_mean,narma10_val_nmse_std,narma10_test_nmse_mean,narma10_test_nmse_std,mg_val_nmse_mean,mg_val_nmse_std,mg_test_nmse_mean,mg_test_nmse_std,mc_total_mean,mc_total_std,rank_narma10,rank_mg,rank_mc,aggregate_rank,n_seeds
5033ae01f908,0.9,0.2,1.0,0.13284320206318162,0.01228358676414429,0.12131713042170049,0.007890753678209754,1.4524198866361857e-12,3.5127212393435554e-13,1.2920596325746617e-12,2.604202990962726e-13,27.541989099757945,0.9963719540608815,4,1,3,2.6666666666666665,5
0292ac89d7b8,0.9,0.2,0.9,0.12686292245442368,0.015744544575328163,0.1164381214800462,0.0066960662998220505,1.6425529884947784e-12,3.9252995458730065e-13,1.4784972168245487e-12,2.5282607530950363e-13,22.656136000881276,0.5658148684656449,1,2,6,3.0,5
92815a841b21,0.9,0.15,1.0,0.13307060900809323,0.01330661653941772,0.12127187891960298,0.006942321108432098,1.8773177356939083e-12,4.911998941227665e-13,1.6902086767255106e-12,3.4889167687686983e-13,30.259202562131357,1.152806785241067,5,3,2,3.3333333333333335,5
b5cf1e3871f2,0.9,0.15,0.9,0.1277822919365461,0.016895672415606803,0.11746593452508877,0.007012155908948077,2.3581852519304426e-12,5.18972890377249e-13,2.1435705630449673e-12,3.5986898277913205e-13,24.61837376930889,0.6972652116596189,2,4,5,3.6666666666666665,5
129fe242d561,0.9,0.1,1.0,0.13439900291397644,0.015365580501931065,0.12270488550211692,0.005917591143184254,2.760129027277902e-12,6.577638547042642e-13,2.561975964327701e-12,5.674307419022153e-13,34.18999848902248,1.3419746248225237,6,5,1,4.0,5
65189332b1c4,0.9,0.1,0.9,0.12916373258217054,0.019022501248701338,0.11788854149728709,0.0063913688019599235,3.88231833731031e-12,5.172027660073401e-13,3.538870606808432e-12,4.3345218599594037e-13,27.441544568140877,0.8278296657045165,3,6,4,4.333333333333333,5
