config_id,spectral_radius,input_scaling,leak_rate,narma10_val_nmse_mean,narma10_val_nmse_std,narma10_test_nmse_mean,narma10_test_nmse_std,mg_val_nmse_mean,mg_val_nmse_std,mg_test_nmse_mean,mg_test_nmse_std,mc_total_mean,mc_total_std,rank_narma10,rank_mg,rank_mc,aggregate_rank,n_seeds
5033ae01f908,0.9,0.2,1.0,0.10609510238713393,0.005691289536862755,0.10448203348106185,0.007553124021977322,1.4747458361256465e-10,3.130694773914132e-11,1.194833591370127e-10,3.385086857533691e-11,22.425566043113946,0.24394320085268803,1,1,2,1.3333333333333333,3
129fe242d561,0.9,0.1,1.0,0.1071773455488676,0.008612350303871332,0.10507145516045689,0.006436832673550489,2.696061420763592e-10,1.0048382308558538e-10,2.3598421759676257e-10,8.355086273507932e-11,26.956659063620663,0.48034177372869225,2,4,1,2.3333333333333335,3
aeb751998e63,0.7,0.2,1.0,0.1355109043818962,0.01966386606695155,0.13824434498153818,0.02031681121061468,2.556036380985807e-10,5.483990224340755e-11,2.1897804749546564e-10,5.5761760776389175e-11,16.785787167521605,0.06010058437255018,3,3,6,4.0,3
bf8866ab4036,0.9,0.2,0.6,0.16609499395582533,0.025925415621042735,0.16481609456408744,0.0033006906593674927,1.6951551019058922e-10,5.207723199377886e-11,1.6863914346371112e-10,3.943880291952445e-11,14.45703197545918,0.3575941757228255,5,2,9,5.333333333333333,3
25de579150b8,0.7,0.1,1.0,0.15784451713516853,0.01234708611938111,0.16396277445171017,0.01375951128213925,9.91456614262554e-10,1.5801148218260092e-10,8.142739450804891e-10,1.5671471542410487e-10,18.686315226588047,0.6295339576352851,4,8,5,5.666666666666667,3
9c67a6f86fa9,0.9,0.1,0.6,0.17570354852185485,0.0254553247474727,0.17494358878586894,0.008482991190669944,5.087591785076203e-10,8.402203673509483e-11,4.4539047373854196e-10,5.7228713524754824e-11,16.39138575242981,0.37601336050912065,6,6,7,6.333333333333333,3
4624975b8b19,1.1,0.1,0.6,0.17863943078883351,0.02282666127512134,0.1820067038322329,0.024518078627894523,8.96531120688721e-09,9.939752604831199e-09,3.0873990816053577e-09,2.0023640449123923e-09,15.324088725275237,2.9748533979326957,7,9,8,8.0,3
9bba7c25d761,1.1,0.2,1.0,0.21246639445076143,0.06265206902089633,0.20862485856015342,0.04384984839440684,4.6539955742386004e-08,6.564903339621654e-08,1.0776801313431854e-07,1.522399249251295e-07,18.797125783661542,2.058914072479268,10,10,4,8.0,3
5dacf2ac3539,0.7,0.2,0.6,0.19569992177816228,0.021162870229146456,0.1971133587754231,0.01330603656557747,4.204705424237221e-10,4.902626399983313e-11,3.758533827804561e-10,4.798604795186687e-11,11.566296928940574,0.10541219404203053,9,5,12,8.666666666666666,3
ae031b6366dd,1.1,0.1,1.0,0.2265606923696389,0.0741003037992987,0.1972833729147717,0.03348535658411516,1.7108344954553465e-07,2.1156939988138026e-07,1.7816285866959248e-07,2.49731238923989e-07,21.754847443999903,2.684463624514443,12,12,3,9.0,3
10b5d24c62b0,1.1,0.2,0.6,0.18405557331000053,0.027767470456039983,0.17963950126836978,0.020401565224809015,8.083411303964263e-08,1.1390185721007139e-07,8.067340836812958e-10,7.383465394907089e-10,13.690401193575743,2.180645497296832,8,11,10,9.666666666666666,3
72f84ae81d5b,0.7,0.1,0.6,0.2193660613949581,0.018224073459942418,0.22151246666529487,0.011958288460023628,8.373592886873071e-10,2.1253471606638972e-10,7.878016872035216e-10,2.1272188437446734e-10,11.814612244797603,0.2203180754766951,11,7,11,9.666666666666666,3
