config_id,spectral_radius,input_scaling,leak_rate,best_ridge_mode,val_nmse_mean,val_nmse_std,test_nmse_mean,test_nmse_std,n_seeds
65189332b1c4,0.9,0.1,0.9,1e-10,4.498496394431072e-12,2.1778876876695046e-12,4.338011917382265e-12,2.187206179390853e-12,5
129fe242d561,0.9,0.1,1.0,1e-10,3.2824291510095716e-12,1.4395698988733598e-12,3.1632159677928594e-12,1.428524481166523e-12,5
b5cf1e3871f2,0.9,0.15,0.9,1e-10,2.6899088295998895e-12,9.701051630207203e-13,2.5438947510866123e-12,1.0848345023935964e-12,5
92815a841b21,0.9,0.15,1.0,1e-10,1.9443126635471785e-12,7.426433006040218e-13,1.834248523100348e-12,8.187058716515473e-13,5
0292ac89d7b8,0.9,0.2,0.9,1e-10,1.9983555382962484e-12,5.898879999820858e-13,1.907970486456748e-12,7.28866884652368e-13,5
5033ae01f908,0.9,0.2,1.0,1e-10,1.4783637336932564e-12,5.049513937194675e-13,1.4248952768911524e-12,6.478917626814298e-13,5
