config_id,spectral_radius,input_scaling,leak_rate,best_ridge_mode,val_nmse_mean,val_nmse_std,test_nmse_mean,test_nmse_std,n_seeds
65189332b1c4,0.9,0.1,0.9,1e-10,3.88231833731031e-12,5.172027660073401e-13,3.538870606808432e-12,4.3345218599594037e-13,5
129fe242d561,0.9,0.1,1.0,1e-10,2.760129027277902e-12,6.577638547042642e-13,2.561975964327701e-12,5.674307419022153e-13,5
b5cf1e3871f2,0.9,0.15,0.9,1e-10,2.3581852519304426e-12,5.18972890377249e-13,2.1435705630449673e-12,3.5986898277913205e-13,5
92815a841b21,0.9,0.15,1.0,1e-10,1.8773177356939083e-12,4.911998941227665e-13,1.6902086767255106e-12,3.4889167687686983e-13,5
0292ac89d7b8,0.9,0.2,0.9,1e-10,1.6425529884947784e-12,3.9252995458730065e-13,1.4784972168245487e-12,2.5282607530950363e-13,5
5033ae01f908,0.9,0.2,1.0,1e-10,1.4524198866361857e-12,3.5127212393435554e-13,1.2920596325746617e-12,2.604202990962726e-13,5
