config_id,spectral_radius,input_scaling,leak_rate,narma10_val_nmse_mean,narma10_val_nmse_std,narma10_test_nmse_mean,narma10_test_nmse_std,mg_val_nmse_mean,mg_val_nmse_std,mg_test_nmse_mean,mg_test_nmse_std,mc_total_mean,mc_total_std,rank_narma10,rank_mg,rank_mc,aggregate_rank,n_seeds
5033ae01f908,0.9,0.2,1.0,0.12623981383472044,0.018461716804525678,0.11608372634284073,0.009967616283858451,1.521006381751107e-12,5.82127492431637e-13,1.2815586956067568e-12,4.735316599056739e-13,32.40898634510133,0.7111725971751355,4,1,3,2.6666666666666665,5
0292ac89d7b8,0.9,0.2,0.9,0.11030457321809592,0.018084353159400348,0.1040566668455987,0.00801088901625444,1.8523947222728678e-12,9.67902481936663e-13,1.5606813737308515e-12,7.788581035950249e-13,25.79783496692666,0.41187724106423584,1,2,6,3.0,5
92815a841b21,0.9,0.15,1.0,0.12668211038197724,0.018080023976658,0.11679947476237433,0.010452381946505942,2.030724947027482e-12,3.681281876679378e-13,1.8081920535266607e-12,3.19626665276512e-13,35.48006370090682,0.6579093508426215,5,3,2,3.3333333333333335,5
b5cf1e3871f2,0.9,0.15,0.9,0.11072583137119049,0.01842121894580246,0.10445752902957708,0.008614479255358598,2.4531471945893247e-12,9.048148965478665e-13,2.178185094414249e-12,7.769229892384512e-13,28.017331923194945,0.37704792821191824,2,4,5,3.6666666666666665,5
129fe242d561,0.9,0.1,1.0,0.12756422240981719,0.017728186537224352,0.11743668718107958,0.010465653190822582,3.1595776219043493e-12,6.264201295633544e-13,2.8449033480698185e-12,5.494147959464308e-13,39.27111930905615,0.5324424488830769,6,5,1,4.0,5
65189332b1c4,0.9,0.1,0.9,0.11166961967020621,0.018435732788059274,0.10545865241726686,0.008489206929384594,4.182794559525741e-12,6.707692700371253e-13,3.773008644919703e-12,7.17446429871233e-13,30.886501358393975,0.3750539619255014,3,6,4,4.333333333333333,5
