config_id,spectral_radius,input_scaling,leak_rate,narma10_val_nmse_mean,narma10_val_nmse_std,narma10_test_nmse_mean,narma10_test_nmse_std,mg_val_nmse_mean,mg_val_nmse_std,mg_test_nmse_mean,mg_test_nmse_std,mc_total_mean,mc_total_std,rank_narma10,rank_mg,rank_mc,aggregate_rank,n_seeds
5033ae01f908,0.9,0.2,1.0,0.16261854008187565,0.013994507691999863,0.1519841359631393,0.012103927424798615,7.922005916175037e-13,1.9915076761469287e-13,7.586045606138441e-13,1.862298293567734e-13,36.295508112628305,0.3290216844384553,4,1,3,2.6666666666666665,5
92815a841b21,0.9,0.15,1.0,0.1633038202091714,0.01261141546226055,0.15416480589147813,0.011145976926974492,1.1008940028753734e-12,1.833194325998716e-13,1.0225667726067762e-12,1.780356870320523e-13,41.27645172498917,0.39799687903397435,5,3,2,3.3333333333333335,5
0292ac89d7b8,0.9,0.2,0.9,0.14814569802280825,0.01233018104700001,0.13383908528350572,0.009319687571521684,9.82601701343489e-13,2.873539766363242e-13,9.254896814563145e-13,2.547031331391093e-13,28.1308301714008,0.3369847097692351,3,2,6,3.6666666666666665,5
65189332b1c4,0.9,0.1,0.9,0.1473895684454118,0.013419201489091698,0.13904807929729096,0.009107016769274555,2.2521353055225823e-12,3.985296060866008e-13,2.0853556303101447e-12,3.7369284856139617e-13,35.44851235914213,0.5041969763257571,1,6,4,3.6666666666666665,5
b5cf1e3871f2,0.9,0.15,0.9,0.14801449308839823,0.012276262019397265,0.13604570909117925,0.008266824575394266,1.421353976501358e-12,3.1090273707543065e-13,1.3116616488559816e-12,2.882764341217522e-13,31.14081132301385,0.39330084506752067,2,4,5,3.6666666666666665,5
129fe242d561,0.9,0.1,1.0,0.16394640072009573,0.013291901036679241,0.1546130236266541,0.008739191977882553,1.7840407192519023e-12,2.8116850445172676e-13,1.6601289354059795e-12,2.50964875354657e-13,48.49282598406897,0.33425262822358487,6,5,1,4.0,5
